scenario,strategy,weight_method,seed,num_students,overload_ratio,violation_level,rejected_hard,waitlist,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,filter_ms,rank_ms,allocate_ms,total_ms
KB4_QuaTaiNang,Hybrid,EWM,58,10000,4.000000,high,2528,12604,23.400000,75.065445,14.081681,0.681215,100.000000,0.583000,5.148000,45.955000,51.686000
KB4_QuaTaiNang,TOPSIS,AHP,58,10000,4.000000,high,2528,5132,23.400000,75.065445,14.081681,0.681215,100.000000,0.837000,4.774000,0.762000,6.373000
KB4_QuaTaiNang,Hybrid,AHP,58,10000,4.000000,high,2528,12604,23.400000,75.065445,14.081681,0.681215,100.000000,0.862000,4.038000,44.591000,49.491000
KB4_QuaTaiNang,FIFO,-,59,10000,4.000000,high,0,7660,23.400000,25.271003,23.076021,0.997943,100.000000,0.000000,6.305000,0.263000,6.568000
KB4_QuaTaiNang,Rule-based,-,59,10000,4.000000,high,2521,5139,23.400000,30.352304,22.196152,0.976476,100.000000,0.555000,4.156000,0.183000,4.894000
KB4_QuaTaiNang,TOPSIS,EWM,59,10000,4.000000,high,2521,5139,23.400000,75.677507,14.347724,0.683012,100.000000,0.517000,4.109000,0.230000,4.856000
KB4_QuaTaiNang,Hybrid,EWM,59,10000,4.000000,high,2521,12618,23.400000,76.084011,14.277335,0.681269,100.000000,0.690000,6.722000,43.804000,51.216000
KB4_QuaTaiNang,TOPSIS,AHP,59,10000,4.000000,high,2521,5139,23.400000,75.677507,14.347724,0.683012,100.000000,0.678000,3.531000,0.184000,4.393000
KB4_QuaTaiNang,Hybrid,AHP,59,10000,4.000000,high,2521,12618,23.400000,76.084011,14.277335,0.681269,100.000000,0.768000,3.676000,44.628000,49.072000
KB4_QuaTaiNang,FIFO,-,60,10000,4.000000,high,0,7660,23.400000,22.237381,23.599719,0.999117,100.000000,0.000000,6.403000,0.301000,6.704000
KB4_QuaTaiNang,Rule-based,-,60,10000,4.000000,high,2444,5216,23.400000,27.967258,22.615421,0.988929,100.000000,1.304000,4.096000,0.204000,5.604000
KB4_QuaTaiNang,TOPSIS,EWM,60,10000,4.000000,high,2444,5216,23.400000,75.375171,14.471526,0.685168,100.000000,1.270000,4.331000,0.209000,5.810000
KB4_QuaTaiNang,Hybrid,EWM,60,10000,4.000000,high,2444,12772,23.400000,75.443383,14.459808,0.684873,100.000000,1.227000,4.213000,45.035000,50.475000
KB4_QuaTaiNang,TOPSIS,AHP,60,10000,4.000000,high,2444,5216,23.400000,75.375171,14.471526,0.685168,100.000000,1.399000,3.884000,0.297000,5.580000
KB4_QuaTaiNang,Hybrid,AHP,60,10000,4.000000,high,2444,12772,23.400000,75.443383,14.459808,0.684873,100.000000,0.973000,5.541000,44.370000,50.884000
KB4_QuaTaiNang,FIFO,-,61,10000,4.000000,high,0,7660,23.400000,22.229465,23.612095,0.999091,100.000000,0.000000,6.924000,0.388000,7.312000
KB4_QuaTaiNang,Rule-based,-,61,10000,4.000000,high,2545,5115,23.400000,29.595828,22.277345,0.980484,100.000000,0.543000,4.990000,0.186000,5.719000
KB4_QuaTaiNang,TOPSIS,EWM,61,10000,4.000000,high,2545,5115,23.400000,75.423729,13.973541,0.679119,100.000000,0.549000,6.383000,0.432000,7.364000
KB4_QuaTaiNang,Hybrid,EWM,61,10000,4.000000,high,2545,12570,23.400000,75.423729,13.973541,0.679119,100.000000,1.075000,7.800000,45.250000,54.125000
KB4_QuaTaiNang,TOPSIS,AHP,61,10000,4.000000,high,2545,5115,23.400000,75.358540,13.985353,0.679405,100.000000,0.689000,3.609000,0.211000,4.509000
KB4_QuaTaiNang,Hybrid,AHP,61,10000,4.000000,high,2545,12570,23.400000,75.358540,13.985353,0.679405,100.000000,0.837000,4.016000,43.550000,48.403000
KB4_QuaTaiNang,FIFO,-,62,10000,4.000000,high,0,7660,23.400000,23.711340,23.346987,0.999940,100.000000,0.000000,6.019000,0.271000,6.290000
KB4_QuaTaiNang,Rule-based,-,62,10000,4.000000,high,2520,5140,23.400000,30.240550,22.235225,0.977257,100.000000,0.740000,5.408000,0.203000,6.351000
KB4_QuaTaiNang,TOPSIS,EWM,62,10000,4.000000,high,2520,5140,23.400000,75.120275,14.593329,0.687201,100.000000,0.522000,4.710000,0.211000,5.443000
KB4_QuaTaiNang,Hybrid,EWM,62,10000,4.000000,high,2520,12620,23.400000,75.120275,14.593329,0.687201,100.000000,1.295000,4.543000,45.187000,51.025000
KB4_QuaTaiNang,TOPSIS,AHP,62,10000,4.000000,high,2520,5140,23.400000,75.120275,14.593329,0.687201,100.000000,1.490000,3.778000,0.464000,5.732000
KB4_QuaTaiNang,Hybrid,AHP,62,10000,4.000000,high,2520,12620,23.400000,75.120275,14.593329,0.687201,100.000000,1.567000,3.897000,44.727000,50.191000
KB4_QuaTaiNang,FIFO,-,63,10000,4.000000,high,0,7660,23.400000,22.664835,23.525281,0.999653,100.000000,0.000000,7.946000,0.241000,8.187000
KB4_QuaTaiNang,Rule-based,-,63,10000,4.000000,high,2548,5112,23.400000,30.631868,22.167603,0.974945,100.000000,0.675000,5.901000,0.271000,6.847000
KB4_QuaTaiNang,TOPSIS,EWM,63,10000,4.000000,high,2548,5112,23.400000,76.167582,14.407772,0.682624,100.000000,0.755000,5.513000,0.207000,6.475000
KB4_QuaTaiNang,Hybrid,EWM,63,10000,4.000000,high,2548,12564,23.400000,76.167582,14.407772,0.682624,100.000000,0.580000,6.365000,57.364000,64.309000
KB4_QuaTaiNang,TOPSIS,AHP,63,10000,4.000000,high,2548,5112,23.400000,76.167582,14.407772,0.682624,100.000000,0.681000,3.768000,0.208000,4.657000
KB4_QuaTaiNang,Hybrid,AHP,63,10000,4.000000,high,2548,12564,23.400000,76.167582,14.407772,0.682624,100.000000,0.600000,4.428000,48.453000,53.481000
KB4_QuaTaiNang,FIFO,-,64,10000,4.000000,high,0,7660,23.400000,24.123989,23.273837,0.999678,100.000000,0.000000,6.349000,0.340000,6.689000
KB4_QuaTaiNang,Rule-based,-,64,10000,4.000000,high,2443,5217,23.400000,27.762803,22.639737,0.989774,100.000000,0.621000,4.224000,0.183000,5.028000
KB4_QuaTaiNang,TOPSIS,EWM,64,10000,4.000000,high,2443,5217,23.400000,72.304582,14.877877,0.697408,100.000000,0.722000,4.236000,0.249000,5.207000
KB4_QuaTaiNang,Hybrid,EWM,64,10000,4.000000,high,2443,12774,23.400000,72.304582,14.877877,0.697408,100.000000,0.606000,4.553000,43.705000,48.864000
KB4_QuaTaiNang,TOPSIS,AHP,64,10000,4.000000,high,2443,5217,23.400000,72.304582,14.877877,0.697408,100.000000,0.826000,4.092000,0.190000,5.108000
KB4_QuaTaiNang,Hybrid,AHP,64,10000,4.000000,high,2443,12774,23.400000,72.304582,14.877877,0.697408,100.000000,0.704000,4.971000,44.988000,50.663000
KB4_QuaTaiNang,FIFO,-,65,10000,4.000000,high,0,7660,23.400000,23.169108,23.440810,0.999966,100.000000,0.000000,6.646000,0.211000,6.857000
KB4_QuaTaiNang,Rule-based,-,65,10000,4.000000,high,2586,5074,23.400000,28.628495,22.475877,0.985713,100.000000,0.566000,5.394000,0.184000,6.144000
KB4_QuaTaiNang,TOPSIS,EWM,65,10000,4.000000,high,2586,5074,23.400000,73.235686,14.591669,0.691635,100.000000,0.535000,4.872000,0.754000,6.161000
KB4_QuaTaiNang,Hybrid,EWM,65,10000,4.000000,high,2586,12488,23.400000,73.435419,14.556366,0.690726,100.000000,0.513000,6.621000,44.917000,52.051000
KB4_QuaTaiNang,TOPSIS,AHP,65,10000,4.000000,high,2586,5074,23.400000,73.235686,14.591669,0.691635,100.000000,0.733000,5.140000,0.456000,6.329000
